joint,x,y,z,jointname,time
0,281.57684,433.01617,1405.105,HEAD,153010
1,183.06369,271.61575,1336.4564,NECK,153010
2,67.66753,274.04617,1324.1503,LEFT_SHOULDER,153010
3,298.45987,269.18536,1348.7626,RIGHT_SHOULDER,153010
4,-13.216133,79.81085,1309.3086,LEFT_ELBOW,153010
5,352.3327,84.67679,1439.1847,RIGHT_ELBOW,153010
6,18.285343,-144.51297,1168.2083,LEFT_HAND,153010
7,566.42615,-135.97417,1407.4836,RIGHT_HAND,153010
8,184.27068,119.07203,1295.0115,TORSO,153010
9,96.17106,-31.590775,1244.0426,LEFT_HIP,153010
10,274.78424,-35.35263,1263.0905,RIGHT_HIP,153010
11,161.7098,-297.53955,1206.66,LEFT_KNEE,153010
12,301.27338,-393.06216,1301.9441,RIGHT_KNEE,153010
13,54.61486,-223.30888,1124.875,LEFT_FOOT,153010
14,279.39407,-731.11487,1344.3552,RIGHT_FOOT,153010
0,280.90427,433.02585,1404.7876,HEAD,153010
1,180.3633,277.72003,1343.2294,NECK,153010
2,69.406525,281.5451,1323.9755,LEFT_SHOULDER,153010
3,291.32004,273.89496,1362.4833,RIGHT_SHOULDER,153010
4,-17.425926,91.668,1315.9431,LEFT_ELBOW,153010
5,356.27808,74.21658,1431.5872,RIGHT_ELBOW,153010
6,12.173414,-133.66728,1174.0537,LEFT_HAND,153010
7,569.4553,-142.50763,1401.2465,RIGHT_HAND,153010
8,182.75226,122.786804,1298.6825,TORSO,153010
9,96.94613,-29.106041,1238.8314,LEFT_HIP,153010
10,273.33633,-35.186836,1269.4398,RIGHT_HIP,153010
11,149.7243,-334.2311,1213.8306,LEFT_KNEE,153010
12,297.692,-395.03558,1311.3428,RIGHT_KNEE,153010
13,-70.05072,-236.53638,1126.4994,LEFT_FOOT,153010
14,272.406,-734.30774,1347.2577,RIGHT_FOOT,153010
0,280.74213,434.15588,1405.1904,HEAD,153010
1,187.26834,288.16043,1336.7455,NECK,153010
2,73.81895,295.03638,1315.6237,LEFT_SHOULDER,153010
3,300.7177,281.28445,1357.8673,RIGHT_SHOULDER,153010
4,-12.320068,107.98567,1308.3007,LEFT_ELBOW,153010
5,352.0747,59.57321,1437.4971,RIGHT_ELBOW,153010
6,17.58502,-120.55922,1168.4979,LEFT_HAND,153010
7,577.92096,-162.67168,1406.1334,RIGHT_HAND,153010
8,186.27068,125.61431,1289.1891,TORSO,153010
9,100.84228,-31.814606,1225.9136,LEFT_HIP,153010
10,269.70377,-42.048996,1257.3518,RIGHT_HIP,153010
11,145.82738,-336.83652,1234.64,LEFT_KNEE,153010
12,288.10028,-403.32263,1281.1362,RIGHT_KNEE,153010
13,-49.203415,-255.20142,1157.2318,LEFT_FOOT,153010
14,274.76022,-751.48315,1353.2725,RIGHT_FOOT,153010
0,280.19818,434.779,1406.5377,HEAD,153010
1,186.69458,281.04123,1335.1759,NECK,153010
2,74.95154,287.4843,1313.913,LEFT_SHOULDER,153010
3,298.43762,274.59818,1356.4388,RIGHT_SHOULDER,153010
4,-13.800285,102.13043,1309.8759,LEFT_ELBOW,153010
5,352.79916,65.60133,1435.537,RIGHT_ELBOW,153010
6,17.946707,-126.27838,1169.4363,LEFT_HAND,153010
7,571.02826,-154.30435,1407.9033,RIGHT_HAND,153010
8,186.07344,122.66524,1290.4493,TORSO,153010
9,101.03681,-30.843384,1229.6598,LEFT_HIP,153010
10,269.86777,-40.578125,1261.7858,RIGHT_HIP,153010
11,138.26219,-378.66788,1239.0792,LEFT_KNEE,153010
12,285.775,-402.53162,1278.6278,RIGHT_KNEE,153010
13,-175.29756,-330.50186,1126.9274,LEFT_FOOT,153010
14,281.91876,-753.5741,1369.034,RIGHT_FOOT,153010
0,281.08908,434.956,1407.4047,HEAD,153010
1,189.24266,272.6115,1326.5874,NECK,153010
2,77.09045,279.16858,1306.0911,LEFT_SHOULDER,153010
3,301.39484,266.05444,1347.0837,RIGHT_SHOULDER,153010
4,-15.93412,99.819534,1313.6498,LEFT_ELBOW,153010
5,353.8222,66.99902,1432.6509,RIGHT_ELBOW,153010
6,16.361763,-125.690094,1171.4457,LEFT_HAND,153010
7,578.76373,-164.39212,1396.503,RIGHT_HAND,153010
8,187.1694,118.93765,1288.7695,TORSO,153010
9,99.50688,-29.73217,1235.3098,LEFT_HIP,153010
10,270.68542,-39.740242,1266.5935,RIGHT_HIP,153010
11,130.8555,-378.23285,1239.8778,LEFT_KNEE,153010
12,284.13852,-401.49957,1280.502,RIGHT_KNEE,153010
13,-185.39676,-435.89343,1140.4922,LEFT_FOOT,153010
14,280.2528,-754.0943,1379.3682,RIGHT_FOOT,153010
0,282.13147,434.71228,1408.0314,HEAD,153010
1,185.93446,271.1119,1319.588,NECK,153010
2,68.43621,277.77103,1290.6553,LEFT_SHOULDER,153010
3,303.4327,264.45276,1348.5208,RIGHT_SHOULDER,153010
4,-19.316818,99.8878,1315.07,LEFT_ELBOW,153010
5,356.79456,66.55731,1431.07,RIGHT_ELBOW,153010
6,12.503576,-126.291626,1172.6343,LEFT_HAND,153010
7,576.96625,-154.18285,1402.7823,RIGHT_HAND,153010
8,186.0597,116.55686,1283.5072,TORSO,153010
9,102.90294,-33.278236,1226.9191,LEFT_HIP,153010
10,269.46692,-42.718117,1267.9337,RIGHT_HIP,153010
11,124.45677,-382.21765,1239.304,LEFT_KNEE,153010
12,284.94614,-406.55264,1275.6226,RIGHT_KNEE,153010
13,-148.15324,-568.8581,1176.112,LEFT_FOOT,153010
14,277.92426,-759.6741,1387.2198,RIGHT_FOOT,153010
0,282.03632,434.19638,1408.1511,HEAD,153010
1,184.41498,271.5069,1320.6829,NECK,153010
2,65.631004,277.40503,1293.0675,LEFT_SHOULDER,153010
3,303.19897,265.60876,1348.2982,RIGHT_SHOULDER,153010
4,-19.50341,98.25168,1316.3291,LEFT_ELBOW,153010
5,356.58282,68.1781,1429.8977,RIGHT_ELBOW,153010
6,11.286251,-128.27628,1171.965,LEFT_HAND,153010
7,574.5195,-156.85832,1399.7227,RIGHT_HAND,153010
8,185.11418,117.90796,1284.8695,TORSO,153010
9,101.82698,-31.520699,1229.5306,LEFT_HIP,153010
10,269.79977,-39.86126,1268.5817,RIGHT_HIP,153010
11,116.888664,-362.10226,1246.0299,LEFT_KNEE,153010
12,284.49606,-404.6505,1275.9325,RIGHT_KNEE,153010
13,158.01761,-185.96727,1156.853,LEFT_FOOT,153010
14,280.88058,-759.07605,1393.651,RIGHT_FOOT,153010
0,281.98105,433.5119,1408.3807,HEAD,153010
1,183.30942,273.07938,1325.874,NECK,153010
2,66.74248,278.7423,1299.4363,LEFT_SHOULDER,153010
3,299.87637,267.41644,1352.3118,RIGHT_SHOULDER,153010
4,-17.61113,95.28833,1313.1042,LEFT_ELBOW,153010
5,354.3883,70.66785,1432.9631,RIGHT_ELBOW,153010
6,13.1513,-130.13739,1167.5201,LEFT_HAND,153010
7,571.93896,-151.0916,1402.142,RIGHT_HAND,153010
8,184.98824,118.314964,1285.3217,TORSO,153010
9,104.009575,-32.43387,1226.0223,LEFT_HIP,153010
10,269.3245,-40.46501,1263.5162,RIGHT_HIP,153010
11,113.411064,-365.94434,1252.9911,LEFT_KNEE,153010
12,282.4524,-405.59747,1270.7891,RIGHT_KNEE,153010
13,161.60667,-253.19089,1187.8522,LEFT_FOOT,153010
14,282.94473,-761.7074,1393.6501,RIGHT_FOOT,153010
