joint,x,y,z,jointname,time
0,140.05948,208.27454,1209.7719,HEAD,112352
1,134.989,-16.951874,1194.8228,NECK,112352
2,29.382807,-3.92984,1294.0503,LEFT_SHOULDER,112352
3,240.59518,-29.973907,1095.5952,RIGHT_SHOULDER,112352
4,16.334179,-192.17563,1411.9229,LEFT_ELBOW,112352
5,309.60928,-241.22813,1106.0542,RIGHT_ELBOW,112352
6,-26.41463,-407.90076,1445.6259,LEFT_HAND,112352
7,264.8697,-438.86008,1014.18115,RIGHT_HAND,112352
8,139.41504,-193.24255,1222.6687,TORSO,112352
9,89.25674,-362.80258,1301.802,LEFT_HIP,112352
10,198.42543,-376.2639,1199.2273,RIGHT_HIP,112352
11,89.25674,-703.0776,1301.802,LEFT_KNEE,112352
12,198.42543,-716.5389,1199.2273,RIGHT_KNEE,112352
13,89.25674,-1030.2651,1301.802,LEFT_FOOT,112352
14,198.42543,-1043.7263,1199.2273,RIGHT_FOOT,112352
0,142.09113,207.68105,1205.8313,HEAD,112352
1,133.74742,-16.62436,1200.5842,NECK,112352
2,29.86263,-8.42215,1299.8745,LEFT_SHOULDER,112352
3,237.63222,-24.826569,1101.2937,RIGHT_SHOULDER,112352
4,16.142208,-204.68501,1417.6741,LEFT_ELBOW,112352
5,311.33957,-241.96083,1103.3055,RIGHT_ELBOW,112352
6,-27.624893,-426.9466,1453.288,LEFT_HAND,112352
7,259.1786,-456.54703,1041.5309,RIGHT_HAND,112352
8,136.94606,-175.73975,1217.0751,TORSO,112352
9,80.531815,-330.1484,1290.5425,LEFT_HIP,112352
10,199.75757,-339.56186,1176.5896,RIGHT_HIP,112352
11,80.531815,-680.86127,1290.5425,LEFT_KNEE,112352
12,199.75757,-690.2747,1176.5896,RIGHT_KNEE,112352
13,80.531815,-1018.0852,1290.5425,LEFT_FOOT,112352
14,199.75757,-1027.4987,1176.5896,RIGHT_FOOT,112352
0,145.69461,211.29532,1208.0109,HEAD,112352
1,143.01416,-12.347031,1216.9095,NECK,112352
2,32.103558,35.71247,1305.2937,LEFT_SHOULDER,112352
3,253.92476,-60.40654,1128.5254,RIGHT_SHOULDER,112352
4,6.277754,-171.51898,1399.0073,LEFT_ELBOW,112352
5,326.547,-277.47815,1128.7242,RIGHT_ELBOW,112352
6,-38.1194,-271.81827,1599.9128,LEFT_HAND,112352
7,389.5208,-361.12354,925.17615,RIGHT_HAND,112352
8,122.84337,-155.40698,1269.3878,TORSO,112352
9,80.3884,-288.8108,1339.6243,LEFT_HIP,112352
10,124.95677,-308.12305,1304.1079,RIGHT_HIP,112352
11,87.66803,-634.2927,1395.6982,LEFT_KNEE,112352
12,124.95677,-658.20166,1304.1079,RIGHT_KNEE,112352
13,135.73393,-966.4386,1421.7332,LEFT_FOOT,112352
14,124.95677,-994.81573,1304.1079,RIGHT_FOOT,112352
0,158.55466,220.33104,1223.814,HEAD,112352
1,146.26183,-23.186844,1240.7523,NECK,112352
2,51.093758,17.331573,1384.5409,LEFT_SHOULDER,112352
3,241.42989,-63.70526,1096.9637,RIGHT_SHOULDER,112352
4,36.978683,-173.44543,1447.263,LEFT_ELBOW,112352
5,292.40402,-258.44934,1099.3186,RIGHT_ELBOW,112352
6,-3.3262062,-264.63177,1622.1621,LEFT_HAND,112352
7,335.85284,-349.21844,924.95593,RIGHT_HAND,112352
8,118.03827,-165.25597,1262.1062,TORSO,112352
9,51.49417,-291.0099,1341.3583,LEFT_HIP,112352
10,128.13525,-323.64032,1225.5619,RIGHT_HIP,112352
11,55.48137,-530.4469,1359.6287,LEFT_KNEE,112352
12,128.13525,-631.5393,1225.5619,RIGHT_KNEE,112352
13,91.14972,-828.95135,1419.9525,LEFT_FOOT,112352
14,128.13525,-927.596,1225.5619,RIGHT_FOOT,112352
0,169.57674,227.67058,1239.3298,HEAD,112352
1,145.9249,-25.72226,1251.396,NECK,112352
2,39.59114,15.235291,1407.9434,LEFT_SHOULDER,112352
3,252.25864,-66.67981,1094.8486,RIGHT_SHOULDER,112352
4,35.833065,-173.3593,1458.9172,LEFT_ELBOW,112352
5,295.00406,-257.23798,1101.2344,RIGHT_ELBOW,112352
6,-3.5036469,-266.83533,1625.9359,LEFT_HAND,112352
7,326.18408,-356.63242,935.9198,RIGHT_HAND,112352
8,116.87295,-166.32088,1268.4475,TORSO,112352
9,48.666367,-291.83795,1343.1436,LEFT_HIP,112352
10,126.97565,-322.00104,1227.8545,RIGHT_HIP,112352
11,54.221146,-528.3761,1362.9203,LEFT_KNEE,112352
12,183.90367,-622.81104,1287.3594,RIGHT_KNEE,112352
13,89.86747,-800.3169,1437.4283,LEFT_FOOT,112352
14,219.56221,-880.5294,1284.0057,RIGHT_FOOT,112352
0,175.56154,232.52788,1247.673,HEAD,112352
1,147.65627,-28.25264,1255.5004,NECK,112352
2,29.700514,21.411621,1409.2485,LEFT_SHOULDER,112352
3,265.61203,-77.9169,1101.7522,RIGHT_SHOULDER,112352
4,31.561996,-160.90186,1463.9535,LEFT_ELBOW,112352
5,300.4883,-264.97644,1106.9171,RIGHT_ELBOW,112352
6,-5.020355,-262.5422,1620.6866,LEFT_HAND,112352
7,324.5522,-368.4021,948.93494,RIGHT_HAND,112352
8,118.94095,-161.65335,1276.5615,TORSO,112352
9,51.10343,-278.582,1348.6161,LEFT_HIP,112352
10,129.34782,-311.52612,1246.6293,RIGHT_HIP,112352
11,57.407074,-512.2932,1396.6573,LEFT_KNEE,112352
12,160.59613,-604.89417,1333.8937,RIGHT_KNEE,112352
13,92.91341,-767.36694,1452.4482,LEFT_FOOT,112352
14,209.45665,-850.969,1295.694,RIGHT_FOOT,112352
0,186.04544,233.83775,1274.7584,HEAD,112352
1,144.99582,-27.83519,1258.176,NECK,112352
2,25.755524,18.297173,1399.526,LEFT_SHOULDER,112352
3,264.23608,-73.967545,1116.826,RIGHT_SHOULDER,112352
4,28.673828,-155.12775,1472.5676,LEFT_ELBOW,112352
5,303.95828,-257.696,1107.5636,RIGHT_ELBOW,112352
6,-6.4263153,-263.96628,1622.0399,LEFT_HAND,112352
7,322.38153,-365.61273,954.4807,RIGHT_HAND,112352
8,117.91408,-161.5755,1278.9791,TORSO,112352
9,49.22364,-279.21802,1349.1061,LEFT_HIP,112352
10,132.44104,-311.41364,1250.4584,RIGHT_HIP,112352
11,56.79818,-515.16437,1385.5287,LEFT_KNEE,112352
12,140.10576,-576.37836,1373.8516,RIGHT_KNEE,112352
13,90.4305,-756.31525,1461.3245,LEFT_FOOT,112352
14,204.22409,-815.9004,1308.3224,RIGHT_FOOT,112352
0,188.3735,238.7291,1287.8022,HEAD,112352
1,144.72084,-26.834686,1252.0793,NECK,112352
2,-0.24075317,46.41134,1340.773,LEFT_SHOULDER,112352
3,289.68243,-100.08072,1163.3857,RIGHT_SHOULDER,112352
4,1.641067,-116.78654,1437.1366,LEFT_ELBOW,112352
