joint,x,y,z,jointname,time
0,-63.231873,218.05789,1229.366,HEAD,124034
1,-121.84054,25.57135,1147.7479,NECK,124034
2,-214.88759,57.64024,1079.461,LEFT_SHOULDER,124034
3,-28.793495,-6.4975433,1216.0348,RIGHT_SHOULDER,124034
4,-281.0983,-73.667175,882.5171,LEFT_ELBOW,124034
5,151.1871,-167.4552,1140.2588,RIGHT_ELBOW,124034
6,-376.9131,-183.61539,1055.5488,LEFT_HAND,124034
7,358.56772,-357.735,1002.782,RIGHT_HAND,124034
8,-110.091805,-75.08153,1084.4707,TORSO,124034
9,-185.59029,-145.66444,957.1631,LEFT_HIP,124034
10,-11.095849,-205.80437,1085.2239,RIGHT_HIP,124034
11,-161.3142,-384.60016,1054.3812,LEFT_KNEE,124034
12,9.986999,-341.7478,780.88025,RIGHT_KNEE,124034
13,-168.07523,-672.75977,1099.501,LEFT_FOOT,124034
14,28.0671,-586.8475,987.60144,RIGHT_FOOT,124034
0,-62.918335,217.7581,1227.6056,HEAD,124034
1,-74.81955,-27.619522,1018.0022,NECK,124034
2,-144.76703,-17.024078,952.41736,LEFT_SHOULDER,124034
3,-4.8720627,-38.214973,1083.587,RIGHT_SHOULDER,124034
4,-202.81448,-157.30713,798.09576,LEFT_ELBOW,124034
5,60.639336,-31.373009,1337.793,RIGHT_ELBOW,124034
6,-283.3377,-300.31573,986.40753,LEFT_HAND,124034
7,201.5998,-201.85068,1262.549,RIGHT_HAND,124034
8,-139.09604,-118.903145,1071.8071,TORSO,124034
9,-266.07056,-200.68945,1066.8245,LEFT_HIP,124034
10,-140.6745,-219.68408,1184.3995,RIGHT_HIP,124034
11,-232.65773,-440.8041,1126.4927,LEFT_KNEE,124034
12,55.37021,-387.93372,1307.5002,RIGHT_KNEE,124034
13,-253.30067,-719.0117,1177.8156,LEFT_FOOT,124034
14,107.07767,-711.60474,1180.0017,RIGHT_FOOT,124034
0,-62.31302,217.63547,1226.1432,HEAD,124034
1,-122.85347,-13.592667,1072.6116,NECK,124034
2,-158.63354,-19.91484,981.3039,LEFT_SHOULDER,124034
3,-87.0734,-7.2704926,1163.9193,RIGHT_SHOULDER,124034
4,-202.6508,-184.32623,818.1572,LEFT_ELBOW,124034
5,75.955345,-67.89587,1260.104,RIGHT_ELBOW,124034
6,-346.42328,-88.15362,1116.0593,LEFT_HAND,124034
7,242.53589,-271.62415,1057.251,RIGHT_HAND,124034
