joint,x,y,z,jointname,time
0,57.89763,223.78024,1292.0879,HEAD,13516
1,6.676635,39.572556,1112.4463,NECK,13516
2,-78.004974,34.049202,1091.2543,LEFT_SHOULDER,13516
3,91.358246,45.09591,1133.6383,RIGHT_SHOULDER,13516
4,-141.0004,-149.09357,943.20447,LEFT_ELBOW,13516
5,138.18477,-74.03704,1303.9304,RIGHT_ELBOW,13516
6,-18.839684,-92.62485,833.5238,LEFT_HAND,13516
7,329.05133,-113.984085,1188.2543,RIGHT_HAND,13516
8,18.359642,-83.83333,1097.9257,TORSO,13516
9,-43.791473,-212.05504,1064.9277,LEFT_HIP,13516
10,103.87677,-202.42339,1101.8823,RIGHT_HIP,13516
11,-47.88398,-550.9111,1118.4893,LEFT_KNEE,13516
12,109.23314,-545.1717,1087.6029,RIGHT_KNEE,13516
13,-28.00409,-871.3126,1194.4907,LEFT_FOOT,13516
14,111.39034,-871.51294,1135.8247,RIGHT_FOOT,13516
0,20.192245,239.75154,1250.8313,HEAD,13516
1,12.052907,49.235546,1144.394,NECK,13516
2,-89.417595,53.281853,1147.988,LEFT_SHOULDER,13516
3,113.523415,45.18924,1140.8,RIGHT_SHOULDER,13516
4,-182.693,-81.46253,1272.2029,LEFT_ELBOW,13516
5,244.80252,-45.316406,1075.833,RIGHT_ELBOW,13516
6,-261.28302,1.9938049,1028.09,LEFT_HAND,13516
7,291.39816,-60.181156,1174.8287,RIGHT_HAND,13516
8,6.744202,-44.421978,1099.9572,TORSO,13516
9,-80.444496,-134.81439,1058.4204,LEFT_HIP,13516
10,83.31548,-141.3446,1052.6201,RIGHT_HIP,13516
11,-72.91553,-475.79254,1095.6521,LEFT_KNEE,13516
12,129.6416,-576.7494,1124.0166,RIGHT_KNEE,13516
13,-47.14589,-795.13464,1174.2976,LEFT_FOOT,13516
14,123.60169,-888.0813,1186.7703,RIGHT_FOOT,13516
0,-72.864876,439.46942,953.5109,HEAD,13516
1,-5.004816,157.1747,1046.8309,NECK,13516
